# Canonical UI label catalog (i18n) - PORTABLE SOURCE OF TRUTH.
#
# Applied at startup by UiTranslationSyncService to ANY active database
# (SQLite and PostgreSQL) through JPA: this mechanism keeps localizations
# aligned across the two engines.
#
# RULE: add every NEW UI key HERE, never in DemoDataRepository's
# seedLabelTranslations* methods (SQLite-only SQL, not run under the PostgreSQL profile).
#
# TSV format, one record per line, with seven TAB-separated fields:
#   key <TAB> description <TAB> it <TAB> en <TAB> fr <TAB> es <TAB> de
# All five languages are required and must be non-empty (verified by UiTranslationCatalogTest).
# Empty lines and lines starting with # are ignored. Values cannot contain TAB characters.
# Synchronization is ADDITIVE: it never overwrites translations already present in the database
# (changes made on the Labels page remain intact).
#
affinity.avoid	Livello compatibilità: da evitare	Da evitare	Avoid	À éviter	A evitar	Zu vermeiden
msg.error.delete	Errore eliminazione (generico)	Errore durante l’eliminazione.	Error while deleting.	Erreur lors de la suppression.	Error al eliminar.	Fehler beim Löschen.
msg.error.deleteDate	Messaggio errore eliminazione data	Errore durante la cancellazione della data.	Error deleting date.	Erreur lors de la suppression de la date.	Error al eliminar fecha.	Fehler beim Löschen des Datums.
msg.error.deleteEmployee	Messaggio errore eliminazione dipendente	Errore durante l'eliminazione dell'operatore.	Error deleting operator.	Erreur lors de la suppression de l'opérateur.	Error al eliminar operador.	Fehler beim Löschen des Mitarbeiters.
msg.error.deleteLocation	Messaggio errore eliminazione sede	Errore durante l'eliminazione del luogo.	Error deleting location.	Erreur lors de la suppression du lieu.	Error al eliminar ubicación.	Fehler beim Löschen des Orts.
msg.error.deleteShift	Messaggio errore eliminazione turno	Errore durante la cancellazione del turno.	Error deleting shift.	Erreur lors de la suppression du quart.	Error al eliminar turno.	Fehler beim Löschen der Schicht.
msg.error.deleteSkill	Messaggio errore eliminazione skill	Errore durante l'eliminazione della skill.	Error deleting skill.	Erreur lors de la suppression de la compétence.	Error al eliminar habilidad.	Fehler beim Löschen der Kompetenz.
msg.error.deleteStructure	Errore eliminazione struttura in uso	Impossibile eliminare: la struttura è in uso.	Cannot delete: structure is in use.	Impossible de supprimer: la structure est utilisée.	No se puede eliminar: la estructura está en uso.	Löschen nicht möglich: Struktur wird verwendet.
msg.error.duplicateEmployeeCode	Messaggio codice dipendente duplicato	Codice operatore già in uso. Scegli un codice diverso.	Operator code already in use. Choose a different code.	Code opérateur déjà utilisé. Choisissez un autre code.	Código de operador ya en uso. Elija otro código.	Mitarbeitercode bereits vergeben. Wählen Sie einen anderen Code.
msg.error.duplicateLocationCode	Messaggio codice sede duplicato	Codice location già in uso. Scegli un codice diverso.	Location code already in use.	Code lieu déjà utilisé.	Código de ubicación ya en uso.	Ortscode bereits vergeben.
msg.error.editEmployee	Messaggio errore modifica dipendente	Errore durante la modifica dell'operatore.	Error editing operator.	Erreur lors de la modification de l'opérateur.	Error al editar operador.	Fehler beim Bearbeiten des Mitarbeiters.
msg.error.editStructure	Errore modifica struttura	Errore durante la modifica della struttura.	Error editing structure.	Erreur lors de la modification de la structure.	Error al editar la estructura.	Fehler beim Bearbeiten der Struktur.
msg.error.generic	Messaggio errore generico	Errore	Error	Erreur	Error	Fehler
msg.error.loadData	Messaggio errore caricamento dati	Errore durante il caricamento dei dati.	Error loading data.	Erreur lors du chargement des données.	Error al cargar los datos.	Fehler beim Laden der Daten.
msg.error.loadEmployee	Messaggio errore caricamento dipendente	Errore nel caricamento dei dati dell'operatore.	Error loading operator data.	Erreur lors du chargement des données opérateur.	Error al cargar datos del operador.	Fehler beim Laden der Mitarbeiterdaten.
msg.error.loadLabels	Messaggio errore caricamento etichette	Errore durante il caricamento delle etichette.	Error loading labels.	Erreur lors du chargement des étiquettes.	Error al cargar etiquetas.	Fehler beim Laden der Beschriftungen.
msg.error.loadLanguages	Messaggio errore caricamento lingue	Errore durante il caricamento delle lingue.	Error loading languages.	Erreur lors du chargement des langues.	Error al cargar idiomas.	Fehler beim Laden der Sprachen.
msg.error.loadLocations	Messaggio errore caricamento sedi	Errore nel caricamento delle location.	Error loading locations.	Erreur lors du chargement des lieux.	Error al cargar ubicaciones.	Fehler beim Laden der Orte.
msg.error.loadSchedule	Messaggio errore caricamento programmazione	Errore nel caricamento della programmazione.	Error loading schedule.	Erreur lors du chargement du planning.	Error al cargar el horario.	Fehler beim Laden des Zeitplans.
msg.error.loadSkills	Messaggio errore caricamento skill	Errore durante il caricamento delle skill.	Error loading skills.	Erreur lors du chargement des compétences.	Error al cargar habilidades.	Fehler beim Laden der Kompetenzen.
msg.error.loadTranslations	Messaggio errore caricamento traduzioni	Errore caricamento traduzioni	Error loading translations	Erreur lors du chargement des traductions	Error al cargar traducciones	Fehler beim Laden der Übersetzungen
msg.error.retrieveData	Messaggio errore recupero dati	Errore nel recupero dei dati. Riprova più tardi.	Error retrieving data. Please try again.	Erreur lors de la récupération des données.	Error al recuperar datos. Inténtelo de nuevo.	Fehler beim Abrufen der Daten.
msg.error.save	Messaggio errore salvataggio generico	Errore durante il salvataggio. Riprova più tardi.	Error saving. Please try again.	Erreur lors de l'enregistrement. Veuillez réessayer.	Error al guardar. Inténtelo de nuevo.	Fehler beim Speichern. Bitte erneut versuchen.
msg.error.saveSkills	Messaggio errore salvataggio skill	Errore durante il salvataggio delle skill.	Error saving skills.	Erreur lors de l'enregistrement des compétences.	Error al guardar habilidades.	Fehler beim Speichern der Kompetenzen.
msg.error.saveWeek	Messaggio errore salvataggio settimana	Errore durante il salvataggio della settimana.	Error saving week.	Erreur lors de l'enregistrement de la semaine.	Error al guardar la semana.	Fehler beim Speichern der Woche.
msg.error.updateLocation	Messaggio errore aggiornamento sede	Errore nell'aggiornamento della location.	Error updating location.	Erreur lors de la mise à jour du lieu.	Error al actualizar ubicación.	Fehler beim Aktualisieren des Orts.
msg.infeasibleSaveWarning	Avviso conferma salvataggio soluzione con violazioni hard	La soluzione viola dei vincoli rigidi: salvandola, le violazioni verranno scritte nei turni. Premi "Salva comunque" per confermare.	The solution violates hard constraints: saving it will write those violations into the shifts. Press "Save anyway" to confirm.	La solution viole des contraintes strictes : en l'enregistrant, ces violations seront écrites dans les quarts. Appuyez sur « Enregistrer quand même » pour confirmer.	La solución viola restricciones estrictas: al guardarla, esas violaciones se escribirán en los turnos. Pulsa "Guardar de todos modos" para confirmar.	Die Lösung verletzt harte Bedingungen: Beim Speichern werden diese Verstöße in die Schichten geschrieben. Zum Bestätigen "Trotzdem speichern" drücken.
msg.no.score.to.analyze	Messaggio nessun score da analizzare	Nessun score da analizzare. Premere prima il pulsante 'Risolvi'.	No score to analyze yet, please first press the 'Solve' button.	Aucun score à analyser, veuillez d'abord appuyer sur 'Résoudre'.	Sin score para analizar. Pulse primero el botón 'Resolver'.	Kein Score zum Analysieren. Bitte zuerst 'Lösen' drücken.
msg.noConstraintData	Messaggio nessun dato sui vincoli	Nessun dato sui vincoli disponibile.	No constraint data available.	Aucune donnée de contrainte disponible.	No hay datos de restricciones disponibles.	Keine Bedingungsdaten verfügbar.
msg.noData	Messaggio dati non disponibili	Dati non disponibili.	No data available.	Données indisponibles.	Datos no disponibles.	Keine Daten verfügbar.
msg.noDates	Messaggio nessuna data	Nessuna data.	No dates.	Aucune date.	Sin fechas.	Keine Daten.
msg.noEmployees	Messaggio nessun dipendente	Nessun operatore.	No operators.	Aucun opérateur.	Sin operadores.	Keine Mitarbeiter.
msg.noLocations	Messaggio nessuna sede	Nessuna sede.	No locations.	Aucun lieu.	Sin ubicaciones.	Keine Standorte.
msg.noShiftsForLocation	Messaggio nessun turno per la sede	Nessun turno per questa sede.	No shifts for this location.	Aucun quart pour ce lieu.	No hay turnos para esta ubicación.	Keine Schichten für diesen Standort.
msg.noSpecialists	Messaggio nessuno specialista	Nessuno specialista.	No specialists.	Aucun spécialiste.	Sin especialistas.	Keine Spezialisten.
msg.noUnassignedShifts	Messaggio nessun turno non assegnato	Nessun turno non assegnato	No unassigned shifts	Aucun quart non assigné	Sin turnos sin asignar	Keine nicht zugewiesenen Schichten
msg.selectStructure	Messaggio seleziona una struttura	Seleziona una struttura.	Select a structure.	Sélectionnez une structure.	Seleccione una estructura.	Wählen Sie eine Struktur.
msg.solutionHasViolations	Avviso modale Solve: score hard negativo senza dettaglio vincoli	La soluzione viola dei vincoli: alcuni turni potrebbero essere rimasti non assegnati.	The solution violates constraints: some shifts may have been left unassigned.	La solution viole des contraintes : certains créneaux peuvent être restés non affectés.	La solución viola restricciones: algunos turnos pueden haber quedado sin asignar.	Die Lösung verletzt Einschränkungen: einige Schichten sind möglicherweise unbesetzt geblieben.
msg.solved	Messaggio risoluzione completata	Risoluzione completata	Solving complete	Résolution terminée	Resolución completada	Lösung abgeschlossen
msg.solving	Messaggio risoluzione in corso	Risoluzione in corso...	Solving...	Résolution en cours...	Resolviendo...	Wird gelöst...
msg.solving.banner	Messaggio banner risoluzione in corso	Ottimizzazione turni in corso...	Solving shifts in progress...	Résolution des quarts en cours...	Resolución de turnos en progreso...	Schichtoptimierung läuft...
msg.solvingInProgress	Messaggio solving in corso	Solving in corso…	Solving in progress…	Résolution en cours…	Resolución en curso…	Lösung läuft…
msg.success.activateLanguage	Messaggio successo attivazione lingua	Lingua attiva aggiornata.	Active language updated.	Langue active mise à jour.	Idioma activo actualizado.	Aktive Sprache aktualisiert.
msg.success.addLabel	Messaggio successo aggiunta etichetta	Etichetta aggiunta.	Label added.	Étiquette ajoutée.	Etiqueta añadida.	Beschriftung hinzugefügt.
msg.success.addLanguage	Messaggio successo aggiunta lingua	Lingua aggiunta con successo.	Language added successfully.	Langue ajoutée avec succès.	Idioma añadido con éxito.	Sprache erfolgreich hinzugefügt.
msg.success.addStructure	Successo aggiunta struttura	Struttura aggiunta con successo.	Structure added successfully.	Structure ajoutée avec succès.	Estructura añadida con éxito.	Struktur erfolgreich hinzugefügt.
msg.success.deleteDate	Messaggio data eliminata	Data cancellata con successo.	Date deleted successfully.	Date supprimée avec succès.	Fecha eliminada con éxito.	Datum erfolgreich gelöscht.
msg.success.deleteEmployee	Messaggio dipendente eliminato	Operatore eliminato con successo!	Operator deleted successfully!	Opérateur supprimé avec succès!	¡Operador eliminado con éxito!	Mitarbeiter erfolgreich gelöscht!
msg.success.deleteLabel	Messaggio successo eliminazione etichetta	Etichetta eliminata.	Label deleted.	Étiquette supprimée.	Etiqueta eliminada.	Beschriftung gelöscht.
msg.success.deleteLanguage	Messaggio successo eliminazione lingua	Lingua eliminata.	Language deleted.	Langue supprimée.	Idioma eliminado.	Sprache gelöscht.
msg.success.deleteLocation	Messaggio sede eliminata	Luogo eliminato con successo!	Location deleted successfully!	Lieu supprimé avec succès!	Ubicación eliminada con éxito!	Ort erfolgreich gelöscht!
msg.success.deleteStructure	Successo eliminazione struttura	Struttura eliminata.	Structure deleted.	Structure supprimée.	Estructura eliminada.	Struktur gelöscht.
msg.success.saveTranslations	Messaggio successo salvataggio traduzioni	Traduzioni salvate.	Translations saved.	Traductions enregistrées.	Traducciones guardadas.	Übersetzungen gespeichert.
msg.success.saved	Messaggio salvataggio riuscito	Salvato!	Saved!	Enregistré!	Guardado!	Gespeichert!
msg.success.scheduleComplete	Messaggio programmazione completata	La programmazione è completa!	Schedule complete!	Planning terminé!	Programación completa!	Zeitplan abgeschlossen!
msg.success.updateLabel	Messaggio successo aggiornamento etichetta	Etichetta aggiornata.	Label updated.	Étiquette mise à jour.	Etiqueta actualizada.	Beschriftung aktualisiert.
msg.success.updateLanguage	Messaggio successo aggiornamento lingua	Lingua aggiornata.	Language updated.	Langue mise à jour.	Idioma actualizado.	Sprache aktualisiert.
msg.success.updateStructure	Successo aggiornamento struttura	Struttura aggiornata.	Structure updated.	Structure mise à jour.	Estructura actualizada.	Struktur aktualisiert.
msg.success.weekSaved	Messaggio settimana salvata e bloccata	Settimana salvata e bloccata.	Week saved and locked.	Semaine sauvegardée et verrouillée.	Semana guardada y bloqueada.	Woche gespeichert und gesperrt.
msg.success.weekUnlocked	Messaggio settimana sbloccata	Settimana sbloccata.	Week unlocked.	Semaine déverrouillée.	Semana desbloqueada.	Woche entsperrt.
msg.unassigned	Messaggio non assegnato	Non assegnato	Unassigned	Non assigné	Sin asignar	Nicht zugewiesen
msg.unassignedShifts	Messaggio turni non assegnati con placeholder {0}	Ci sono {0} turni non assegnati.	There are {0} unassigned shifts.	Il y a {0} quarts non assignés.	Hay {0} turnos sin asignar.	Es gibt {0} nicht zugewiesene Schichten.
msg.unknownLocation	Messaggio sede sconosciuta	Sede sconosciuta	Unknown Location	Lieu inconnu	Ubicación desconocida	Unbekannter Ort
msg.validation.selectFacilityMonth	Messaggio seleziona struttura e mese	Seleziona sia la struttura sia il mese.	Please select both facility and month.	Veuillez sélectionner la structure et le mois.	Seleccione la instalación y el mes.	Bitte Einrichtung und Monat auswählen.
msg.validation.selectNurseMonth	Messaggio seleziona infermiera e mese	Seleziona sia l'infermiera sia il mese.	Please select both nurse and month.	Veuillez sélectionner l'infirmière et le mois.	Seleccione la enfermera y el mes.	Bitte Krankenschwester und Monat auswählen.
msg.warning.endBeforeStart	Messaggio fine prima di inizio	L'orario di fine deve essere successivo all'orario di inizio!	End time must be after start time!	L'heure de fin doit être après l'heure de début!	La hora de fin debe ser posterior al inicio!	Endzeit muss nach Startzeit liegen!
msg.warning.insufficientResources	Messaggio risorse insufficienti	Risorse non sufficienti per completare la programmazione.	Insufficient resources to complete the schedule.	Ressources insuffisantes pour compléter le planning.	Recursos insuficientes para completar el horario.	Nicht genügend Ressourcen für den Zeitplan.
msg.warning.invalidDatetime	Messaggio formato data ora non valido	Formato data/ora non valido!	Invalid date/time format!	Format date/heure invalide!	Formato fecha/hora inválido!	Ungültiges Datum/Uhrzeit-Format!
msg.warning.labelKeyDescRequired	Messaggio avviso chiave e descrizione obbligatorie	Chiave e descrizione obbligatorie.	Key and description are required.	Clé et description sont obligatoires.	Clave y descripción son obligatorias.	Schlüssel und Beschreibung sind erforderlich.
msg.warning.langCodeDescRequired	Messaggio avviso codice e descrizione obbligatori	Codice e descrizione sono obbligatori.	Code and description are required.	Code et description sont obligatoires.	Código y descripción son obligatorios.	Code und Beschreibung sind erforderlich.
msg.warning.noShifts	Messaggio nessun turno disponibile	Nessun turno disponibile.	No shifts available.	Aucun quart disponible.	Sin turnos disponibles.	Keine Schichten verfügbar.
msg.warning.noValidSkills	Messaggio nessuna skill valida	Nessuna skill valida da salvare.	No valid skills to save.	Aucune compétence valide à enregistrer.	Sin habilidades válidas para guardar.	Keine gültigen Kompetenzen zum Speichern.
